id;Tbf;Taf;raw.decrease;norm.decrease;normEBS.decrease;het.decrease;plateau_slope;maxfluo;well_pcr;sample;calib;pop;generation;ratio;plate_qpcr_id;competition;experiment_batch;setup;predicted_freq
plate2#G5;77.57;85.04;0.261334462938349;0.132150306606293;0.197448877389066;0;0;5.93113019870833;G5;G6-N24;NA;N24;6;NA;plate2;V8;RA;23&24;0.273099198799322
plate2#G6;77.41;85.33;0.219512107912825;0.0702357674056296;NA;0;0;5.97206525411533;G6;G3-N22;NA;N22;3;NA;plate2;V8;VFP;22;NA
plate2#G9;77.68;85;0.262186370146285;0.140248761435965;0.201407128370273;0;0;5.91323052554698;G9;G3-N19;NA;N19;3;NA;plate2;V8;DW;19;0.277881582081576
plate2#H1;78.15;85.38;0.208018919800192;0.0879854709601166;0.147024511516058;0;0.00456716414858408;7.30505772066192;H1;G3-Z21;NA;Z21;3;NA;plate2;V8;VFP;21;0.208657609985883
plate2#H19;78;85.38;0.243164898102164;0.106283968149501;NA;0;0.00281483598102007;6.13781276225977;H19;G3-N24;NA;N24;3;NA;plate2;V8;RA;23&24;NA
plate2#H23;77.23;85.44;0.259905610426453;0.118877727744375;0.196137074811406;0;0;6.68928734653609;H23;G6-Z20;NA;Z20;6;NA;plate2;V8;DW;20;0.271507547723303
plate2#H24;77.83;85.47;0.233481803965387;0.106274662497398;0.171252810676853;0;0.00202934032346351;6.4816331656036;H24;G6-Z22;NA;Z22;6;NA;plate2;V8;VFP;22;0.240577678328587
plate2#H6;78.15;85.38;0.203958111413286;0.101937236448071;0.165728873961301;0;0.00288126874060721;5.9877312869705;H6;G3-N20;NA;N20;3;NA;plate2;V8;DW;20;0.233479094954608
plate2#H9;77.74;85;0.202324752197838;0.0875011607032337;0.148864918803559;0;0;5.82047293796635;H9;G6-N21;NA;N21;6;NA;plate2;V8;VFP;21;0.211154409558253
plate2#I11;76.95;85.04;0.26408224486543;0.135105261809194;0.200708052409957;0;0;6.25538782273668;I11;G3-N24;NA;N24;3;NA;plate2;V8;RA;23&24;0.27703917377893
plate2#I13;77.2;85;0.249265370577652;0.0951017164126801;0.170183019186808;0;0;5.44864307041924;I13;G3-Z23;NA;Z23;3;NA;plate2;V8;RA;23&24;0.23921064441606
plate2#I14;77.66;84.84;0.850335234035676;0.802572001974474;0.84112198674265;0;0;5.53062246368675;I14;8-75%;calib;8-75%;NA;75%;plate2;V8;NA;NA;0.765337401369769
plate2#I17;77.44;85.33;0.23237926471844;0.100989845255899;NA;0;0.00348821085631919;6.45499121090941;I17;G3-Z19;NA;Z19;3;NA;plate2;V8;DW;19;NA
plate2#I20;77.47;85.44;0.252060549058174;0.127286760532146;0.194123002194794;0;0;6.50267856299012;I20;G3-Z24;NA;Z24;3;NA;plate2;V8;RA;23&24;0.269057166976109
plate2#J13;77.66;85;0.209278370415891;0.0947274626309475;0.148014191382424;0;0;5.75301678640817;J13;G3-N20;NA;N20;3;NA;plate2;V8;DW;20;0.210001676330627
plate2#J16;76.95;84.54;1;1;1;0;0;5.97935886698359;J16;8-100%;calib;8-100%;NA;100%;plate2;V8;NA;NA;0.995889640434966
plate2#J19;78.08;84.95;0.828541440533665;0.779850541200351;0.818000011596077;0;0;6.71874696047559;J19;8-75%;calib;8-75%;NA;75%;plate2;V8;NA;NA;0.740495551823667
plate2#J2;77.47;85.33;0.254686806328439;0.108980497120413;0.18112596044515;0;0.00182477702400094;7.22685148131073;J2;G6-Z19;NA;Z19;6;NA;plate2;V8;DW;19;0.253034118070777
plate2#J22;77.74;85.44;0.224633277064163;0.109298411958299;0.169731115307485;0;0.00541435334796358;6.7312589520562;J22;G3-N20;NA;N20;3;NA;plate2;V8;DW;20;0.238632085552417
plate2#J24;78;85.44;0.235374635027595;0.128361158681825;0.178098680303326;0;0.000913737574904578;6.61575565727765;J24;G3-N19;NA;N19;3;NA;plate2;V8;DW;19;0.249243868391992
plate2#J5;77.88;85.27;0.195621862545198;0.0817943586326439;0.13152548270265;0;0.00196323560831759;6.07399956067646;J5;G6-N21;NA;N21;6;NA;plate2;V8;VFP;21;0.187211309799468
plate2#J6;77.94;85.33;0.223302417281067;0.110250586559992;0.161498783092966;0;0.00934351780075984;6.31852238885297;J6;8-25%;calib;8-25%;NA;25%;plate2;V8;NA;NA;0.227973972854494
plate2#K11;77.57;85;0.233440193858346;0.105318932398402;0.171207647595855;0;0.00529631139311563;5.50112071797637;K11;G6-Z19;NA;Z19;6;NA;plate2;V8;DW;19;0.240520039569857
plate2#K16;77.74;85.04;0.209161586219301;0.0724106673009204;NA;0;0.00466467571368647;5.91553320446459;K16;G6-N22;NA;N22;6;NA;plate2;V8;VFP;22;NA
plate2#K17;77.57;85.33;0.225099928212444;0.0936931853224877;0.15743157172237;0;0;6.5412648949923;K17;G3-N21;NA;N21;3;NA;plate2;V8;VFP;21;0.22262143613085
